Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Cry of Despair,7c  ***,Lead dog,"DavidMcK, ChloeJ",3rd time trying this. Glad the moves felt easier than ever. Look forward to trying some links.,12/Jul/22,Chee Dale Lower,Sport,French,England
The Shell,V3  **,Sent x,ChloeJ,,09/Jul/22,The Sheep Pen,Bouldering,Font,Wales
Dog Shooter,V4  ***,Sent x,ChloeJ,Good to be back in the mountains!,09/Jul/22,The Sheep Pen,Bouldering,V-grades,Wales
Sharkbait,V1  ,Sent x,ChloeJ,,09/Jul/22,The Sheep Pen,Bouldering,Font,Wales
Yellow Wall,V4+  **,Sent rpt,ChloeJ,First boulder post-surgery!,08/Jul/22,Craig yr Undeb (Union Rock),Bouldering,Font,Wales
Yellow Wall Traverse,V5+  *,Sent dnf,ChloeJ,,08/Jul/22,Craig yr Undeb (Union Rock),Bouldering,Font,Wales
The Lime Arch,6b+  ***,TR rpt,"ChloeJ, EddieTJ, Sid Sherborne, Niamh Gibson",First climb post ankle surgery (2.5 weeks before). Top roped this clean with an airstep boot.,25/Jun/22,Dovedale,Sport,French,England
22 Chambers,V8  **,Sent dnf,ChloeJ,Had been trying this on and off over 3-4 sessions. Seems pretty hard for the grade to me. Look forward to trying again once recovered from surgery.,09/Jun/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
Grand Canyon,7b+  ***,Lead dog,ChloeJ,Great route. Put the clips in and then had 1 RP attempt but unfortunately ran out of evening. Look forward to trying this again once recovered from surgery.,08/Jun/22,Pantymwyn (Devil's Gorge),Sport,French,Wales
Chulilla,7b+  ***,Lead RP,ChloeJ,"2nd go this session, was pretty close!",05/Jun/22,Brean Down,Sport,French,England
A Swift Flight of Fancy,E3 6a ***,Lead O/S,ChloeJ,Stunning route but thought this was a hell of a struggle at the grade,03/Jun/22,Sennen,Trad,British,England
Zig Zag,HVS 5a **,2nd rpt,ChloeJ,,03/Jun/22,Sennen,Trad,British,England
Delilah,E2 5b **,2nd rpt,ChloeJ,,03/Jun/22,Sennen,Trad,British,England
Just Revenge,7c+  ***,Lead RP,ChloeJ,Revenge is certainly sweet.  My longest sport project to date and so good to finally put this to bed. Must have fallen off the crux dead point at least 20 times from the ground. Somehow felt easy on the go!,02/Jun/22,Anstey's Cove,Sport,French,England
Rippled Wall (Javu P64),V4  ***,Sent x,"richi3d10, Will Dougie, Sylvan Chouhan, EGriffin, Sid Sherborne, Niamh Gibson, ChloeJ",,31/May/22,Bonehill Rocks,Bouldering,V-grades,England
Pacemaker,E5 6a ***,Lead O/S,ChloeJ,Brilliant climb and pretty decent gear!,30/May/22,Lower Sharpnose Point,Trad,British,England
The Smile,E1 5b ***,2nd rpt,ChloeJ,Quite entertaining to struggle up this with a rucksack wheighing about 10-15kg,30/May/22,Lower Sharpnose Point,Trad,British,England
The Apprentice,V7  **,Sent dnf,ChloeJ,A couple of failed attempts on a supposed rest day,29/May/22,Tintagel North,Bouldering,Font,England
Coral Sea,6c  **,Lead O/S,ChloeJ,,28/May/22,Brean Down,Sport,French,England
Chepito,7a  **,Lead O/S,ChloeJ,,28/May/22,Brean Down,Sport,French,England
Pearl Harbour,7a  ***,Lead O/S,ChloeJ,,28/May/22,Brean Down,Sport,French,England
Chulilla,7b+  ***,Lead dog,ChloeJ,Had 3 goes on this in an evening. Fell off throwing on the last hard move. Keen to go back. Brilliant route on steep euro-style limestone.,28/May/22,Brean Down,Sport,French,England
Melting Man,7a  ***,Lead O/S,ChloeJ,,23/May/22,Taff's Well,Sport,French,Wales
Ghengis Khan,6c+  ***,Lead O/S,ChloeJ,Really brilliant technical gem!,23/May/22,Taff's Well,Sport,French,Wales
Marine Layer,7a+  ***,Lead dog,ChloeJ,,23/May/22,Rhossili Beach,Sport,French,Wales
Minnesota Nice,7a+  ,Lead O/S,ChloeJ,"Fully bolted but rather loose and dirty. Not anywhere as good as the two routes to the right, also definitely more like 6c.",23/May/22,Taff's Well,Sport,French,Wales
Pioneers of the Hypnotic Groove,7b  ***,Lead O/S,"ChloeJ, EddieTJ","Brilliant excursion, what a stunning and unique route!",22/May/22,Foxhole,Sport,French,Wales
Joy de Viva,7a  ***,Lead O/S,"ChloeJ, EddieTJ","Great route, pretty close when 3rd day on!",22/May/22,Foxhole,Sport,French,Wales
Hanging by a Thread,6c  ***,Lead O/S,ChloeJ,,21/May/22,Witches Point,Sport,French,Wales
Staple Diet,7b  ***,Lead dog,ChloeJ,Burly as hell. Tried this 4 times throughout the day and came close but never got past the final throw. One to come back for fresh and not after trying the bulge the night before.,21/May/22,Witches Point,Sport,French,Wales
The Bulge,V6  **,Sent dnf,ChloeJ,"Thought I would find this easy, nearly a year on. Made it to the last move but didn't touch the finishing jug. Perhaps had over trained during the week and completely ran out of energy very quickly due to rushed session and lack of dinner. ",20/May/22,Biblins Cave,Bouldering,Font,England
Hermit's Cave Traverse,V4  ***,Sent x,ChloeJ,,15/May/22,Cratcliffe Tor,Bouldering,Font,England
The Shylock Finish,VS 5a **,2nd O/S,"ChloeJ, Steely12, Sid Sherborne, lo22, Niamh Gibson",,14/May/22,Dovestone Tor,Trad,British,England
Great Buttress,HVS 5a ***,2nd O/S,"ChloeJ, lo22",,14/May/22,Dovestone Tor,Trad,British,England
Jonah,D  *,Solo O/S,"ChloeJ, Sid Sherborne, Niamh Gibson",,14/May/22,Dovestone Tor,Trad,British,England
Dreamcatcher,6b+  *,Lead O/S,ChloeJ,,13/May/22,Stoney Middleton,Sport,French,England
Virgin King,7b+  **,Lead dog,ChloeJ,3 goes on this in an evening after work. Gutted to not do it and really should have done it on the last go but just hadn&rsquo;t rested enough since the previous attempt (it was going dark). Brilliant route though!,13/May/22,Stoney Middleton,Sport,French,England
Arnold is Número Uno,V6  *,Sent β,,Interesting problem!,11/May/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
Lone Wolf Right Hand,V7  ,Sent x,,Great problem. Not really my style (board-like) and quite reachy - so was extra pleased to get this in a session.,11/May/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
Just Revenge,7c+  ***,Lead dog,ChloeJ,Really thought this would go quickly after nearly a year of climbing progress since my last attempts. Was a bit too tired after climbing at Torbryan. Need to come back fresh and prioritise doing this at the very start of the next trip/weekend.,08/May/22,Anstey's Cove,Sport,French,England
Barney Rubble,7a+  ***,Lead β,ChloeJ,Very good! Nice technical challenge for the grade,07/May/22,Torbryan Quarry,Sport,French,England
Mayday,6c  ***,Lead O/S,ChloeJ,"Pretty stiff crux, quite close to the ground!",06/May/22,Torbryan Quarry,Sport,French,England
Thread Flintstone,7b  ***,Lead RP,ChloeJ,2nd go. Great climb!,06/May/22,Torbryan Quarry,Sport,French,England
Strong Arete,V7  ***,Sent x,"ChloeJ, Will Dougie, Sylvan Chouhan, Sid Sherborne",Great problem,02/May/22,Eskdale Fisherground,Bouldering,Font,England
Light Fantastic,V6  *,Sent dnf,ChloeJ,Found it really hard to work this out. Couldn’t even pull off the ground!,02/May/22,Eskdale Fisherground,Bouldering,Font,England
The Animal,V4  **,Sent x,ChloeJ,"Really interesting, techy gem!",02/May/22,Eskdale Fisherground,Bouldering,Font,England
Strong Arete (Stand up),V5  ,Sent x,"ChloeJ, Will Dougie, Sylvan Chouhan, Sid Sherborne",Great on its own too!,02/May/22,Eskdale Fisherground,Bouldering,Font,England
Rob's Wall,V7  ***,Sent dnf,"richi3d10, ChloeJ, Will Dougie, EddieTJ, Sylvan Chouhan, Sid Sherborne, Niamh Gibson","Tried the first move on this a couple of times, as well as the really cool moves on the sit. Need to be a fair bit stronger.",02/May/22,Eskdale Fisherground,Bouldering,Font,England
Animal Crackers,V6  ,Sent x,ChloeJ,Brilliant problem on a really special and unique bloc!,02/May/22,Eskdale Fisherground,Bouldering,Font,England
Chimney arete RH (SS),V5  ,Sent x,"ChloeJ, Sid Sherborne",Did this using the best hold I could reach from sitting - not sure if that meant I started a move higher than I should have. Interesting problem nonetheless.,02/May/22,Eskdale Fisherground,Bouldering,Font,England
Picnic Sarcastic,V7  **,Sent x,"richi3d10, ChloeJ, Will Dougie, EddieTJ, Sylvan Chouhan, Sid Sherborne, Niamh Gibson","Good problem. Tried this throughout the previous day and got close but only finished this after meeting up with Wucc for more psych, good vibes and beta!",01/May/22,The Bowderstone,Bouldering,Font,England
M.G.C.,E2 5c ***,Lead O/S,ChloeJ,Short but intense!,01/May/22,Shepherd’s Crag,Trad,British,England
The Bludgeon,E1 5b ***,Lead O/S,ChloeJ,"The reputation of this is fair! Very exposed, technical and yet quite burly. Memorable enough with several grades in hand!",01/May/22,Shepherd’s Crag,Trad,British,England
Kransic Crack Direct,HVS 5a ***,2nd O/S,ChloeJ,,01/May/22,Shepherd’s Crag,Trad,British,England
The Ramp,V4  *,Sent x,ChloeJ,,30/Apr/22,The Bowderstone,Bouldering,Font,England
The Jim Grin,7a  ***,Lead O/S,ChloeJ,Pretty burly!,29/Apr/22,Troller's Gill,Sport,French,England
Barguest Direct,7a  ***,Lead O/S,ChloeJ,Surprisingly pumpy,29/Apr/22,Troller's Gill,Sport,French,England
Franja de Ponent,7a  **,Lead β,"ChloeJ, kishanvekaria, EddieTJ",First and only route of the day. Was absolutely wrecked from Maligna the day before!,23/Apr/22,Margalef - Zona del Panta North,Sport,French,Spain
Maligna,7c  **,Lead RP,ChloeJ,"Incredible route with a lot of variety! 
Pleased for this to be my first 7c in a day.
Got this 2nd redpoint excluding the working go and a few drops of the starting boulder - one of which was due to the stone pile collapsing.
",22/Apr/22,Margalef - Zona del Panta North,Sport,French,Spain
Setareh,6c  **,Lead β,"EddieTJ, kishanvekaria, ChloeJ",,22/Apr/22,Margalef - Zona del Panta North,Sport,French,Spain
Buscando Punto 6,7b  **,Lead RP,"Hannah Hume, ChloeJ, kishanvekaria, EddieTJ","Quite close onsight attempt. Had to tie  back in and finish it, very good route with an interesting crux!",20/Apr/22,Masriudoms,Sport,French,Spain
Puta Crisis Reglatera,7b+  ***,Lead RP,"Hannah Hume, ChloeJ, kishanvekaria, EddieTJ",Brilliant technical climbing on really varied flowstone! Got this 2nd go - great fight.,20/Apr/22,Masriudoms,Sport,French,Spain
ATP,6c+  ***,Lead RP,"Hannah Hume, ChloeJ, kishanvekaria, EddieTJ",Nice warm up. Shame the rest was wet.,20/Apr/22,Masriudoms,Sport,French,Spain
Local Hero,8a  ,Lead dog,ChloeJ,"Tried this all day then stripped it :(
Need to come back stronger and with actual anaerobic power",18/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Printemps Arabe,7b+  ***,Lead RP,ChloeJ,Good to finish this after failing on local hero. A brilliant and very varied route!,18/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Printemps Arabe,7b+  ***,Lead dog,ChloeJ,1 further RP attempt,17/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Local Hero,8a  ,Lead dog,ChloeJ,Several attempts throughout the day. Frustrating to keep dropping the bouldery start of this route.,17/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Man on the Moon,7b+  ,Lead β,EddieTJ,First 7b+ flash. Awesome! Thanks Eddie for the clips and beta,15/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Local Hero,8a  ,Lead dog,ChloeJ,"First try, bolt-bolt. Moves felt ok.",15/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Printemps Arabe,7b+  ***,Lead dog,ChloeJ,unsuccessful O/S attempt,15/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
El Fustigador,8a+  ***,Lead dog,EddieTJ,Good taste of harder things. Managed all moves but one (LH 2 finger pocket before the crux was problematic). Would need to be much stronger to link any of them!,14/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Magic Festival,7c  ***,Lead RP,"ChloeJ, EddieTJ",2nd go on this day. Felt good to finally pull through the top crux. Amazing excursion!,14/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Magic Festival,7c  ***,Lead dog,"ChloeJ, EddieTJ",4 RP attempts,12/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Magic Festival,7c  ***,Lead dog,EddieTJ,1st try + 2 RP attempts,11/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
The Chemical Brothers,7a  **,Lead β,"ChloeJ, kishanvekaria",,09/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Whiskey Compadre,7b+  ***,Lead dog,"kishanvekaria, ChloeJ","One bolt-bolt go, followed by a close but unsuccessful redpoint attempt.",09/Apr/22,Margalef - Zona del Panta South,Sport,French,Spain
Pitus i Flautes,7b  **,Lead dog,ChloeJ,Failed O/S attempt. Was annoyingly close!,08/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Lo Diedre del Guill,6b+  ,Lead O/S,"ChloeJ, kishanvekaria",Great first route of the trip!,08/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Loba,7a  ,Lead dog,ChloeJ,Not a good warm up - especially as one of your first routes in Margalef!,08/Apr/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Snappy Duds,V7  *,Sent dnf,"ChloeJ, Sid Sherborne",,03/Apr/22,Burbage North,Bouldering,Font,England
Banana Finger,V3  ***,Sent O/S,ChloeJ,1st problem of the day. Climbed this pretty badly...,03/Apr/22,Burbage North,Bouldering,Font,England
Banana Finger Direct,V5  ***,Sent x,ChloeJ,"Cool problem, aren't kneebars great?",03/Apr/22,Burbage North,Bouldering,Font,England
Mermaid,V6  ***,Sent dnf,EddieTJ,Could barely touch this - not sure why,03/Apr/22,Burbage North,Bouldering,Font,England
Crescent Groovelet,V2  **,Sent x,"ChloeJ, Sid Sherborne",,02/Apr/22,Stanage Plantation,Bouldering,Font,England
Spur Traverse,V5+  **,Sent x,"ChloeJ, Sid Sherborne",,02/Apr/22,Stanage Plantation,Bouldering,Font,England
Not to be Taken Away,V5  ***,Sent x,"ChloeJ, Sid Sherborne",Great to finally do this!,02/Apr/22,Stanage Plantation,Bouldering,Font,England
Stalker's Zone,6a+  ***,Lead β,ChloeJ,,27/Mar/22,Wallsend South,Sport,French,England
Reverence,7a+  ***,Lead O/S,ChloeJ,"Brilliant, pumpy excursion.",27/Mar/22,Wallsend South,Sport,French,England
Superfly Guy,7a  ***,Lead β,ChloeJ,A pretty stiff warm up! Quite cruxy with some pretty insecure moves,27/Mar/22,Coastguard North,Sport,French,England
The Jewel of the Isle,6b+  ***,Lead O/S,ChloeJ,,26/Mar/22,Wallsend South,Sport,French,England
Best Fingers Forward,6c+  ***,Lead β,ChloeJ,,26/Mar/22,Wallsend South,Sport,French,England
Flaky Wall,E4 6a ***,Lead dog,ChloeJ,Brilliant moves on this! Unfortunately too ambitious for the first trad lead of the year - keen to come back with more fitness.,19/Mar/22,High Tor,Trad,British,England
Original Route,HVS 5a ***,2nd rpt,ChloeJ,Good lead from Chloe!,19/Mar/22,High Tor,Trad,British,England
"I've Been a Bad, Bad Boy",7c+  ***,Lead dog,ChloeJ,Good to get back on this. Felt a fair bit stronger than first session and managed to work out the top move. Had one working go and one redpoint attempt where I fell off on the traverse (didn't have this dialled enough). Keen to go back and finish this.,13/Mar/22,Lower Pen Trwyn,Sport,French,Wales
Contusion - Mayfair Link,6c+  ***,Lead rpt,ChloeJ,,13/Mar/22,Pen Trwyn,Sport,French,Wales
The Nose,V6  *,Sent x,ChloeJ,Took a good few tries but felt fine as soon as I committed to trusting my left heel.,12/Mar/22,Porth Ysgo,Bouldering,Font,Wales
Popcorn Party,V6  ***,Sent dnf,ChloeJ,"Had a couple of goes, got really close then got rained off by a storm. lol",12/Mar/22,Porth Ysgo,Bouldering,V-grades,Wales
Juggy lip,V0+  ,Sent β,ChloeJ,,12/Mar/22,Porth Ysgo,Bouldering,Font,Wales
Super Cheers sds,V5+  *,Sent x,ChloeJ,Cool start into a good little grovel,12/Mar/22,Porth Ysgo,Bouldering,Font,Wales
The Shield,V3+  **,Sent O/S,ChloeJ,,12/Mar/22,Porth Ysgo,Bouldering,Font,Wales
Flange Arete,V4+  *,Sent x,ChloeJ,,12/Mar/22,Porth Ysgo,Bouldering,Font,Wales
Saruman,V6  ,Sent β,Sid Sherborne,Not sure of the exact line but what I climbed was pretty cool! ,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Samwise,V4+  ,Sent x,Sid Sherborne,Great problem - had to climb this using the deep but narrow pocket and pulled through straight to the top due to a few wet holds,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Rivendell,V5+  ,Sent β,Sid Sherborne,Good little pounce off two pretty ratty crimps,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Rohan,V4  ,Sent x,Sid Sherborne,"Cool, little bit of jug hauling",06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Beretta,V7  ,Sent x,Sid Sherborne,Really cool! Did this 2nd go from the start. Should maybe have put more into a flash attempt. lol ,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Colt,V7  *,Sent dnf,Sid Sherborne,"Was too tired to get this but nice to try it regardless. Felt nails next to Beretta! 
My starting heel-toe cam seemed to absolutely destroy my toenails though. One to come back for!",06/Mar/22,Anston Stones Wood,Bouldering,Font,England
The Rookie,V7  ,Sent dnf,Sid Sherborne,Tried this briefly before we decided to move on. Intense few moves!,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Takashi Sit Start,V7  ,Sent dnf,Sid Sherborne,"Interesting problem, made some good progress on this but found it hard to commit to the last moves when so high up - with an injured ankle.",06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Wizz Kid Stand Start,V7  ,Sent dnf,Sid Sherborne,Started trying this - lower half was pretty cool but couldn't work out the top - not sure if some crucial holds are missing?,06/Mar/22,Anston Stones Wood,Bouldering,Font,England
Problem 26 - Shades Of Orion,V2  **,Sent x,"kishanvekaria, Sid Sherborne, Niamh Gibson",,05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Problem 88 - Fist of Fury,V3  ,Sent x,"kishanvekaria, Niamh Gibson",Took a lot of goes to stick the dyno on this!,05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Problem 62 SS - Barrage,V5+  ,Sent x,"kishanvekaria, Sid Sherborne, Niamh Gibson",Interesting moves with the two crimpy sidepulls and bomber heel-toe cam!,05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Problem 24,V6  ,Sent x,"kishanvekaria, Sid Sherborne, Niamh Gibson",Found this a lot trickier than homeward bound - had to properly leap for the top,05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Problem 25 - Holmeward bound,V5  **,Sent x,"kishanvekaria, Sid Sherborne, Niamh Gibson","Nice little thin, wall problem",05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Problem 28 - The undercut problem,V3  **,Sent β,"kishanvekaria, Sid Sherborne, Niamh Gibson","reminded me a bit of ""a bishop's move"" at the roaches",05/Mar/22,Holmfirth Cliff,Bouldering,Font,England
Zinc Oxide Mountain,7b+  ***,Lead RP,ChloeJ,Great to come back to this. Put the clips in and did it 1st rp this session- still felt very close a few years later. Wonderful day out!,27/Feb/22,Battleship Back Cliff,Sport,French,England
Judge Jeffreys,6c  ***,Lead rpt,ChloeJ,Great end to a lovely weekend!,27/Feb/22,Battleship Edge,Sport,French,England
China White,6c+  ***,Lead O/S,"ChloeJ, kishanvekaria, EddieTJ","Bit cold and humid, good lesson to not come to Coastguard in the morning!",26/Feb/22,Coastguard North,Sport,French,England
Portland Heights,7a  ***,Lead O/S,"ChloeJ, kishanvekaria, EddieTJ","Great climb! Lots of holds, really interesting, sustained and with lots of scope for creative footwork",26/Feb/22,Blacknor Central,Sport,French,England
Psychosomatic Addict,7a+  **,Lead β,"ChloeJ, kishanvekaria, EddieTJ",Pretty close! Thanks to Eddie for the clips and beta,26/Feb/22,Blacknor South,Sport,French,England
Medusa Falls,7a  ***,Lead dog,"ChloeJ, kishanvekaria, EddieTJ",Rather like Cairn at Harpur Hill and equally sandbagged! Found this incredibly hard and aggravating of my ankle injury. One to come back for!,26/Feb/22,Blacknor South,Sport,French,England
Reptile Smile,6a+  ***,Lead rpt,"ChloeJ, kishanvekaria",,25/Feb/22,Blacknor North,Sport,French,England
Downtown Julie Brown,6c  ***,Lead rpt,"ChloeJ, kishanvekaria",,25/Feb/22,Blacknor North,Sport,French,England
England's Dreaming,7a+  ***,Lead dog,"ChloeJ, kishanvekaria","Somehow managed to “undo” this, after coming back much stronger. Lol",25/Feb/22,Blacknor North,Sport,French,England
The Hoop-La,V1  **,Sent x,ChloeJ,Sole ascent of the evening (started raining very soon after). Still had a lovely time discovering Frodsham after a working day!,22/Feb/22,Frodsham,Bouldering,Font,England
36 Flags,V6  **,Sent x,,Did a low traverse start which included one of the wildest drop knees I’ve ever done. Great link-up!,19/Feb/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
Flag of Iron,V5  **,Sent x,,Lovely problem!,19/Feb/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
Methanoic Acid,V7  **,Sent β,,Cool moves - either this was perfectly my style or I took the wrong line as didn’t feel hard enough to be V7 (to me),19/Feb/22,Craig Ty Mawr (Tremeirchion),Bouldering,Font,Wales
A Little Extra (Direct Start Problem),V6  *,Sent x,"ChloeJ, EddieTJ, Sid Sherborne, Niamh Gibson",,13/Feb/22,Raven Tor (Miller's Dale),Bouldering,Font,England
Chockstone Roof,V4+  ***,Sent x,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",,12/Feb/22,Cademan Wood and Broad Hill,Bouldering,Font,England
Miss Directed,V7  ***,Sent dnf,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Sunk an enormous amount of energy trying this but was good fun nonetheless. Need to pull off the last move!,12/Feb/22,Cademan Wood and Broad Hill,Bouldering,Font,England
Sorceress (boulder),V6  ***,Sent x,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Turns out the trick was just to be fresh!,12/Feb/22,Forest Rock,Bouldering,Font,England
Sorceress (stand start),V5  ,Sent x,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",,12/Feb/22,Forest Rock,Bouldering,Font,England
Saucy (sit-start),V4  ***,Sent x,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Brilliant experience ,12/Feb/22,Forest Rock,Bouldering,Font,England
Sorcerer,V2  *,Sent rpt,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Did this 1st try on the day but think I might have done it before and forgotten/not logged it,12/Feb/22,Forest Rock,Bouldering,Font,England
Sorcerer Arete,V6  ,Sent dnf,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Tried this once or twice but then moved onto something else?,12/Feb/22,Forest Rock,Bouldering,Font,England
Cracked up,V8  ***,Sent dnf,"Pawan Limbu, ChloeJ, kishanvekaria, EddieTJ, Sid Sherborne, Niamh Gibson",Did not feel any easier this time round. Might require about 5 years of specific training.,12/Feb/22,Forest Rock,Bouldering,Font,England
New Saladin,6c  **,Lead O/S,ChloeJ,"Great route with a really interesting, airy crux",07/Feb/22,The Cuttings,Sport,French,England
European Flavour,6b  **,Lead β,ChloeJ,,06/Feb/22,The Cuttings,Sport,French,England
The Cutting Edge,6c+  ***,Lead O/S,ChloeJ,"With direct start. Brilliant route, was glad to onsight this!",06/Feb/22,The Cuttings,Sport,French,England
Perihelion,6b+  **,Lead rpt,ChloeJ,,06/Feb/22,The Cuttings,Sport,French,England
Quality Family Day,4c  **,Lead rpt,ChloeJ,,06/Feb/22,The Cuttings,Sport,French,England
Jam,4c  **,Lead rpt,ChloeJ,,06/Feb/22,The Cuttings,Sport,French,England
Brief Encounter,6b  **,Lead β,ChloeJ,,06/Feb/22,The Cuttings,Sport,French,England
Drowning on Dry Land,6c  **,Lead β,EddieTJ,,05/Feb/22,Cheyne Cliff,Sport,French,England
Cruise Control,6a+  **,Lead β,,,05/Feb/22,Cheyne Cliff,Sport,French,England
Road Rage,7b+  ***,Lead dog,"kishanvekaria, EddieTJ, ChloeJ",5 tries over two days and got excruciatingly close. Another reminder of the need to keep on top of my injuries.,05/Feb/22,Cheyne Cliff,Sport,French,England
Sorceress (boulder),V6  ***,Sent dnf,"Will Dougie, Sid Sherborne, Niamh Gibson","Surprisingly hard, could never quite get onto the final jug properly ",23/Jan/22,Forest Rock,Bouldering,Font,England
Own narrative,V8+  **,Sent dnf,"Will Dougie, Sid Sherborne, Niamh Gibson",Tried a few moves on this for the first time,23/Jan/22,Forest Rock,Bouldering,Font,England
Cracked up,V8  ***,Sent dnf,"Will Dougie, Sid Sherborne, Niamh Gibson","Felt even harder than usual, gave up after 20mins",23/Jan/22,Forest Rock,Bouldering,Font,England
First Roof Middle,V5  *,Sent x,"Sid Sherborne, Niamh Gibson",Absolutely nails,22/Jan/22,Gardom's Edge,Bouldering,Font,England
First Roof Left,V4+  *,Sent O/S,"Sid Sherborne, Niamh Gibson","Did this in the dark, at the end of the day. Was perhaps too far left but not going to lose sleep over it ",22/Jan/22,Gardom's Edge,Bouldering,Font,England
Bin Laden's Cave,V6  ***,Sent x,"Sid Sherborne, Niamh Gibson","Great problem, glad to do this in a handful of tries. Was exhilarating to commit to the mantel for the first time with a sprained ankle. Lol",22/Jan/22,Gardom's Edge,Bouldering,Font,England
Wishbone Left,V7  *,Sent x,"Sid Sherborne, Niamh Gibson",Great single move up to the lip. Couldn&rsquo;t believe I managed the mantel twice tbh!,22/Jan/22,Gardom's Edge,Bouldering,Font,England
Habitus sit start,V4  **,Sent rpt,ChloeJ,,16/Jan/22,Roche Abbey,Bouldering,Font,England
Faithless RH Direct,V7  *,Sent dnf,"ChloeJ, Niamh Gibson",Cool eliminate. Kept on getting to the two crimps but couldn't quite latch the crozzly holds at the top.,16/Jan/22,Roche Abbey,Bouldering,Font,England
Mark's Roof Original,V6  **,Sent dnf,"richi3d10, Niamh Gibson, Sylvan Chouhan, Will Dougie, ChloeJ",Cool problem. Shame to get quite close only for conditions to get worse and worse,15/Jan/22,Gardom's Edge,Bouldering,V-grades,England
Gran fisura,6b+  **,Lead O/S,"ChloeJ, Katiek",Last route of the trip - to an amazing sunset!,09/Jan/22,Sella,Sport,French,Spain
Faraód de la chica,6c+  *,Lead O/S,"ChloeJ, kishanvekaria",,09/Jan/22,Sella,Sport,French,Spain
Lupu,6c  **,Lead O/S,"ChloeJ, kishanvekaria","Did this clean and went on to dog the 7b+ extension ""Riding the Dragon"" - an amazing finishing section but really quite hard!",09/Jan/22,Sella,Sport,French,Spain
Mora,7a+  ***,Lead O/S,ChloeJ,"Brilliant, pumpy heaven",08/Jan/22,Cocentaina,Sport,French,Spain
Ultimes  Passes,6c  ***,Lead O/S,ChloeJ,"Great, steady excursion at the grade",08/Jan/22,Cocentaina,Sport,French,Spain
Sarvatxo,6a+  *,Lead O/S,ChloeJ,Strenuous and technical at the same time. Great!,08/Jan/22,Cocentaina,Sport,French,Spain
La bella,7b  **,TR,"JayAyBee, Katiek, ChloeJ, kishanvekaria",,07/Jan/22,Pena Roja (Lliber),Sport,French,Spain
Through the Magic Door,6a  **,TR,"JayAyBee, ChloeJ",,07/Jan/22,Pena Roja (Lliber),Sport,French,Spain
Sulacco (Russmania),7a+  **,Lead dog,"ChloeJ, kishanvekaria",Would have loved to give this an onsight go ,07/Jan/22,Pena Roja (Lliber),Sport,French,Spain
Caprichosa,6b  **,2nd O/S,"ChloeJ, kishanvekaria",,07/Jan/22,Pena Roja (Lliber),Sport,French,Spain
